Id;beginn;ende;dauer;sender;titel;typ;text;genre_id;fsk;language;weekday;zusatz;wdh;downloadlink;infolink;programlink;
5517064;04.11.2011 19:00:00;04.11.2011 19:30:00;30;SAT1;K 11 Kommissare im Einsatz;Reihe;Reihe Deutschland 2003 22 min;5300;;de;Fri;Reihe Deutschland 2003 22 min;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517064;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA2NA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA2NA==;
5517069;04.11.2011 19:00:00;04.11.2011 20:00:00;60;SAT1CH;K 11 Kommissare im Einsatz;Krimi-Serie; mit Michael Mayer Gerrit Grassl Jonas Rohrmann;5325;;;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517069;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA2OQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA2OQ==;
5517054;04.11.2011 19:00:00;04.11.2011 19:25:00;25;SF1;Schweiz aktuell;Schweiz;Schweiz 2011 20 min;-1;;;Fri;Schweiz 2011 20 min;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517054;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA1NA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA1NA==;
5533268;04.11.2011 19:00:00;04.11.2011 19:35:00;35;TVPHISTORIA;Dziennik telewizyjny 04.11.;;;0;;pl;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5533268;http://www.onlinetvrecorder.com/infopage.php?id=NTUzMzI2OA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzMzI2OA==;
5538336;04.11.2011 19:00:00;04.11.2011 19:30:00;30;UKBBC;The One Show;Interests;Chris Evans Alex Jones and a team of roving reporters present topical stories from around the UK.;-1;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538336;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODMzNg==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODMzNg==;
5538342;04.11.2011 19:00:00;04.11.2011 20:00:00;60;UKBBC2;Celebrity Antiques Road Trip;Factual;Charlie Ross and Charles Hanson offer advice to father-and-son team Dan and Peter Snow who hunt for collectibles during a journey through Hampshire and along the south coast to an auction in Billingshurst Sussex. Narrated by Tim Wonnacott.;-1;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538342;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODM0Mg==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODM0Mg==;
5538341;04.11.2011 19:00:00;04.11.2011 19:45:00;45;UKBBC3;Top Gear USA;Motoring;Kid Rock gets behind the wheel to race around the show s test track and Tanner Foust tests Ford s F150 Raptor against a parachutist making a 25 000ft jump. Adam Ferrera reviews the Mercedes SLS AMG and competes against Rutledge Wood to create a replacement for the military Hummer.;-1;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538341;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODM0MQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODM0MQ==;
5538335;04.11.2011 19:00:00;04.11.2011 19:25:00;25;UKBBC4;World News Today;News and Current Affairs;The day s leading stories.;2200;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538335;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODMzNQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODMzNQ==;
5538348;04.11.2011 19:00:00;04.11.2011 23:00:00;240;UKCBBC;Close 1;No Genre;;-1;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538348;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODM0OA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODM0OA==;
5538343;04.11.2011 19:00:00;04.11.2011 20:00:00;60;UKCBSACTION;Walker Texas Ranger;Dramaserie;The Rangers target a bingo hall being used to launder drug money but find a key witness most unwilling to give evidence.;5302;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538343;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODM0Mw==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODM0Mw==;
5538344;04.11.2011 19:00:00;04.11.2011 20:00:00;60;UKCBSDRAMA;Touched by an Angel;Dramaserie;Tess trains an apprentice angel to guide and inspire those who need love. Heavenly drama starring Roma Downey and Della Reese.;5302;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538344;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODM0NA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODM0NA==;
5538337;04.11.2011 19:00:00;04.11.2011 19:30:00;30;UKCHANNEL4;Channel 4 News;News and Current Affairs;Including sport and weather.;2200;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538337;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODMzNw==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODMzNw==;
5538338;04.11.2011 19:00:00;04.11.2011 19:30:00;30;UKE4;Hollyoaks;Soap;The sixth form students try to bring the village together to pay tribute to the serial killer s latest victims. Brendan resolves to take revenge on Warren and a lovelorn Bart contemplates telling Sinead how he feels - even though he suspects it might be too late to win her back from Gaz.;5311;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538338;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODMzOA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODMzOA==;
5538339;04.11.2011 19:00:00;04.11.2011 19:30:00;30;UKFIVE;5 News at 7;News and Current Affairs;Round-up of the day s headlines from around the world.;2200;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538339;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODMzOQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODMzOQ==;
5538345;04.11.2011 19:00:00;04.11.2011 20:00:00;60;UKHORROR;The War of the Worlds;Sci-Fi;;7515;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538345;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODM0NQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODM0NQ==;
5538340;04.11.2011 19:00:00;04.11.2011 19:30:00;30;UKITV;Emmerdale;Soap;Andy and Cameron swap houses as part of the plan but neither of them is pleased with the arrangement. Nikhil s suspicions about Nicky increase and he sees red punching him in the pub. Cain is amused when Priya asks Brenda what happened to Viv and Katie asks Declan why he is avoiding Mia.;5311;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538340;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODM0MA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODM0MA==;
5538346;04.11.2011 19:00:00;04.11.2011 20:00:00;60;UKITV2;The Cube;Game show;A childminder and a Londoner take part in the game show aiming to complete tasks within the confines of the cube to win a jackpot of Â£250 000. Each player has nine lives and must complete up to seven challenges ranging from agility tests to skill trials. Hosted by Phillip Schofield.;5415;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538346;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODM0Ng==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODM0Ng==;
5538347;04.11.2011 19:00:00;04.11.2011 20:00:00;60;UKITV4;The Sweeney;Dramaserie;A routine surveillance assignment leads Regan and Carter to a massive car-parking fraud. Starring John Thaw and Dennis Waterman.;5302;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5538347;http://www.onlinetvrecorder.com/infopage.php?id=NTUzODM0Nw==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzODM0Nw==;
